trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-115.99328251774092,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-123.64905598823685,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-29.53651481114298,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-126.74204758496302,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-119.00669541235177,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-129.17857130903738,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-311.66704759352996,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-132.19535363098473,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-191.72004823058498,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,18,-5.983313200240109,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-151.26864805397017,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-84.08295252954912,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-97.21560104759138,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,20,8.11191219574597,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,1,-95.62936873151462,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-103.16028876251866,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-140.49386674222612,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,5,-34.12188463595017,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,10,-27.753600347522433,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-218.41675990088225,"{0: 12, 1: 0, 2: 8, 3: 2, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,4,-67.15326628380896,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,12,-12.183658501478254,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,3,-1.713072064919748,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,16,-20.72119386554527,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,-14.703993397264709,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,16,-144.7378658859625,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 3}",1
7,True,"{'a': 0, 'e': 0}",30,21,-18.996083135603726,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-94.86201386476044,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,8,19.446396495435383,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,5,-91.65445656673295,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
