trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,4,-144.18932489716167,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-75.92278546898638,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-147.09865671961452,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-155.95049574432528,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,18,10.575613290405077,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,3,-97.09643199900178,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-46.509253083848954,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-83.22238068836675,"{0: 24, 1: 1, 2: 1, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-110.56692261982974,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,3,-119.54353870576342,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-36.10096360621712,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-118.11605875846182,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-96.56373249853974,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-107.81743754743121,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-70.8386433810543,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-139.30933265898025,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,2,-125.97332927033081,"{0: 8, 1: 5, 2: 3, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-158.9989552488689,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-188.9777156064203,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-116.89774323158737,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-95.10249210056962,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,7,-108.77743184124166,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",30,0,-115.75377157059017,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,0,-65.93607056849893,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-93.67574284836338,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-79.03533770427131,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,0,-185.84418865727744,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",20,0,-103.19532526427237,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-129.85644759442087,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,2,-58.29245861426626,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 0}",1
