trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,13.995721466223177,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-184.19383061673574,"{0: 18, 1: 3, 2: 3, 3: 4, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-196.00640441521517,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-76.5501673057238,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-151.96538367464686,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-32.52029731928175,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-88.24631748135275,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-59.45754192873689,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-99.8672861891349,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-71.69096745281537,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,16,-57.8775750319165,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-64.44579636438729,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-77.16121444682967,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-138.52914366379335,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,15,-83.21527406650152,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-110.71988589726271,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-228.85866224346492,"{0: 15, 1: 5, 2: 6, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-137.19515549783134,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-69.0179408384628,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-173.24720431976544,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-129.34849096425214,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-132.27336057372145,"{0: 13, 1: 1, 2: 8, 3: 3, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,-146.5800128919125,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-176.53661577309313,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-77.76834560059378,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",35,0,-150.7806463670552,"{0: 25, 1: 3, 2: 4, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-47.87958625087196,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,-169.90437712734675,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-46.51310088568166,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,-176.76558593831004,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
