trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",20,14,-12.94027003641881,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.2, 'e': 0.9900498337491681}",30,0,-108.72603917081776,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.9851119396030626}",20,0,-108.58552941538659,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.9801986733067553}",20,0,-163.23855927275758,"{0: 9, 1: 1, 2: 5, 3: 4, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.9753099120283326}",25,0,-94.70339534837146,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.9704455335485082}",20,12,-26.228626423162147,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.2, 'e': 0.9656054162575665}",20,0,-106.44160252224243,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.9607894391523232}",25,0,-71.24910959893852,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.2, 'e': 0.9559974818331}",20,0,-124.33935519759268,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.951229424500714}",20,0,-201.57990981037761,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 5}",0
11,False,"{'a': 0.2, 'e': 0.9464851479534838}",20,0,-159.84887608507785,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.2, 'e': 0.9417645335842487}",25,0,-224.4634599008712,"{0: 13, 1: 2, 2: 3, 3: 4, 4: 3}",0
13,False,"{'a': 0.2, 'e': 0.9370674633774034}",20,0,-114.09720714135595,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.9323938199059483}",20,0,-164.5596801564226,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.2, 'e': 0.9277434863285529}",20,0,-155.27234917027715,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.2, 'e': 0.9231163463866358}",25,0,-229.14874686204115,"{0: 11, 1: 1, 2: 8, 3: 2, 4: 3}",0
17,False,"{'a': 0.2, 'e': 0.9185122844014574}",25,0,-131.2515968023056,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.2, 'e': 0.9139311852712282}",25,16,-59.01467844594238,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.2, 'e': 0.9093729344682314}",25,3,-65.28543499294486,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 1}",1
20,False,"{'a': 0.2, 'e': 0.9048374180359595}",30,0,-170.6871668523391,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
21,False,"{'a': 0.2, 'e': 0.9003245225862656}",30,0,-94.39639045027033,"{0: 20, 1: 6, 2: 1, 3: 2, 4: 1}",0
22,False,"{'a': 0.2, 'e': 0.8958341352965282}",25,0,-252.5457024110384,"{0: 10, 1: 3, 2: 7, 3: 1, 4: 4}",0
23,False,"{'a': 0.2, 'e': 0.8913661439068313}",20,0,-65.08563473904309,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.2, 'e': 0.8869204367171575}",25,0,-158.59825855760735,"{0: 9, 1: 4, 2: 9, 3: 3, 4: 0}",0
25,False,"{'a': 0.2, 'e': 0.8824969025845955}",20,6,-38.46804763032963,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.2, 'e': 0.8780954309205613}",20,0,-145.52295499324612,"{0: 11, 1: 0, 2: 4, 3: 4, 4: 1}",0
27,False,"{'a': 0.2, 'e': 0.8737159116880344}",20,0,-97.62757776916717,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.2, 'e': 0.8693582353988059}",25,0,-144.56525736326537,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
29,False,"{'a': 0.2, 'e': 0.8650222931107413}",25,0,-74.03052383347894,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
30,False,"{'a': 0.2, 'e': 0.8607079764250578}",30,0,7.544323560974833,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.2, 'e': 0.8564151774836135}",20,0,-80.62903908204484,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
