trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.890000747537194,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-335.40372417275023,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 6}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.74395908990198,"{0: 7, 1: 6, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.38859159524878,"{0: 9, 1: 7, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.90159025052708,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.1258033882039,"{0: 6, 1: 4, 2: 8, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.78016963945747,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-197.57217472551028,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.64490804911836,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.8479544785085,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-240.09199399867651,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.26803047296002,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.38778414570612,"{0: 12, 1: 7, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,7,-125.13180991492018,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.49121867946297,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.00234776422062,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.510493960877,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.18901616552051,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.80134779859303,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-183.56101202595164,"{0: 17, 1: 9, 2: 7, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-167.77406376781332,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-234.06033964475057,"{0: 17, 1: 6, 2: 7, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.71507063124174,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,11,-86.28659880070374,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-144.72152971874976,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.75266812501976,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-178.38957087630143,"{0: 12, 1: 4, 2: 13, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-262.8275026815138,"{0: 5, 1: 7, 2: 9, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-149.7212022941182,"{0: 10, 1: 4, 2: 10, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.51986495566638,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
