trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.05}",25,0,-87.06775418750298,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.05}",20,0,-74.60806972067058,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.05}",25,0,-115.88329006954123,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.05}",25,0,-260.3629638682284,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.05}",20,0,-151.53154332186153,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.05}",30,0,-120.49396170647267,"{0: 17, 1: 3, 2: 7, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.05}",20,0,-100.59611599166338,"{0: 7, 1: 5, 2: 8, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.05}",20,0,-144.35038073681903,"{0: 6, 1: 2, 2: 10, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.05}",30,0,-239.60368123723836,"{0: 13, 1: 5, 2: 7, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.05}",20,0,-168.03216483423589,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.05}",25,0,-91.37921198820588,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.05}",20,0,-107.57892577096587,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.05}",25,0,-131.80659091959444,"{0: 9, 1: 6, 2: 9, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.05}",30,0,-158.60665741762665,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.05}",25,0,-120.45563962798627,"{0: 15, 1: 1, 2: 5, 3: 4, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.05}",20,0,-202.6287255185402,"{0: 6, 1: 6, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.05}",20,0,-161.24116246668385,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.05}",30,0,-201.6585857357704,"{0: 14, 1: 5, 2: 7, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.05}",25,4,-73.57206892631845,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.05}",20,0,-84.14493646848288,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 0.05}",25,0,-171.45542664666158,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 0.05}",30,0,-279.9051501773923,"{0: 10, 1: 5, 2: 10, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 0.05}",25,0,-229.14792933629053,"{0: 9, 1: 4, 2: 8, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 0.05}",35,0,-205.9588171147212,"{0: 14, 1: 8, 2: 10, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 0.05}",20,6,-50.415168819986654,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 0.05}",35,0,-285.57977028829083,"{0: 14, 1: 7, 2: 8, 3: 3, 4: 3}",0
7,True,"{'a': 0.5, 'e': 0.05}",20,0,-126.40469063561507,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 0.05}",25,0,-211.36217859329005,"{0: 11, 1: 1, 2: 10, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 0.05}",25,0,-84.7526518894922,"{0: 12, 1: 7, 2: 6, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 0.05}",25,0,-314.3758914374007,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 6}",0
